"Frequency / Hz","Vm1:Measured voltage"
35550,1.4185470568557257e-07
35600,1.0572440132686129e-11
35650,1.5062045358887322e-07
35700,1.0489854904499322e-11
35750,1.5991832856301665e-07
35800,1.0531163510889546e-11
35850,1.6984791541912274e-07
35900,1.0880835572879034e-11
35950,1.8041741241603056e-07
36000,9.9819618104603053e-12
36050,1.9168424874980191e-07
36100,9.9213461303050491e-12
36150,2.0376071852591755e-07
36200,1.0300792904627751e-11
36250,2.1667536946764055e-07
36300,9.8402748194791587e-12
36350,2.3050349119642315e-07
36400,8.2109992848534005e-12
36450,2.4537682661280734e-07
36500,1.0257128073028997e-11
36550,2.6134576547434045e-07
36600,9.5879591716085124e-12
36650,2.7850801196273024e-07
36700,1.0261323293528057e-11
36750,2.9701774872382558e-07
36800,1.0036109158501376e-11
36850,3.1694388272181604e-07
36900,9.5128904182454306e-12
36950,3.3840323176056272e-07
37000,9.5792026595223894e-12
37050,3.6155668007818976e-07
37100,9.8758054276171949e-12
37150,3.8647632215725379e-07
37200,9.6833682166481374e-12
37250,4.1325004022344296e-07
37300,9.7304434516048005e-12
37350,4.4198903366356983e-07
37400,9.7340491141768397e-12
37450,4.7264597760355413e-07
37500,9.4672684548272619e-12
37550,5.0512100059694942e-07
37600,9.6918575589496714e-12
37650,5.391896136519445e-07
37700,9.8284344698606252e-12
37750,5.7426057279965963e-07
37800,9.4948871423381488e-12
37850,6.0934120300697203e-07
37900,9.5966371382661281e-12
37950,6.4275097617323079e-07
38000,9.7876998970168825e-12
38050,6.7152360714831963e-07
38100,1.0265533948071922e-11
38150,6.9074847401374786e-07
38200,1.0252527420995211e-11
38250,6.9220732659665945e-07
38300,9.2052145222266418e-12
38350,6.6183129829628184e-07
38400,9.8786290129874878e-12
38450,5.7544164557735884e-07
38500,1.021690407750506e-11
38550,3.9058698262794164e-07
38600,1.0026336437847474e-11
38650,3.0867583900742279e-08
38700,1.1012695221256926e-11
38750,6.4986849002337807e-07
38800,1.1310875108095712e-11
38850,1.9586796187440532e-06
38900,8.1166556198721226e-12
38950,4.484125865813582e-06
39000,9.446560453042613e-12
39050,9.6163060046284687e-06
39100,1.0643666831726496e-11
39150,2.0931390325290715e-05
39200,7.0263395099992879e-12
39250,4.9502293195657756e-05
39300,9.3246720826847241e-12
39350,0.00014209918245651357
39400,9.9240403717661164e-12
39450,0.0005535243570516993
39500,9.1336159650564159e-12
39550,0.0024645558703066555
39600,9.2590464577504846e-12
39650,0.0078413059599628659
39700,1.0200485697261136e-11
39750,0.0076048492235156612
39800,8.9825978964201947e-12
39850,0.026618695989765986
39900,9.8066218217567657e-12
39950,0.046227194339978413
40000,1.0059013223484219e-11
40050,0.046428970732875829
40100,8.7947499088142135e-12
40150,0.026494068980554755
40200,8.6109519338474682e-12
40250,0.0074310812365332608
40300,8.7199900179872871e-12
40350,0.0078425097886935524
40400,9.3815765034253126e-12
40450,0.0025296143304685578
40500,9.6079350689750385e-12
40550,0.00059497713027368681
40600,9.2013228665572872e-12
40650,0.00016672822291559339
40700,9.1717170878383705e-12
40750,6.6233077616703593e-05
40800,7.7735515629611538e-12
40850,3.3318292698523739e-05
40900,9.0708486118603542e-12
40950,1.9242996356143118e-05
41000,1.018891618466888e-11
41050,1.2204701207613982e-05
41100,8.1537901664443258e-12
41150,8.3045091580486886e-06
41200,8.4266994224316806e-12
41250,5.9611834450126849e-06
41300,9.4476747196298738e-12
41350,4.481745339037571e-06
41400,8.783007867122426e-12
41450,3.4919523804068645e-06
41500,9.2059679001819492e-12
41550,2.8004762262746026e-06
41600,9.3782174254261322e-12
41650,2.3003227322210622e-06
41700,8.8362425808610304e-12
41750,1.9274311793140727e-06
41800,8.6017573999130325e-12
41850,1.6420486272106753e-06
41900,9.514718781241996e-12
41950,1.4185726120495565e-06
42000,8.5452275055024895e-12
42050,1.2400842008728586e-06
42100,8.5844950878118487e-12
42150,1.0950724987900303e-06
42200,8.843427239988022e-12
42250,9.7543054963490855e-07
42300,8.6675324628642884e-12
42350,8.7540549077980111e-07
42400,9.3459517505468403e-12
42450,7.9082390684843629e-07
42500,8.290239644273342e-12
42550,7.1852036763079207e-07
42600,8.6912961220816475e-12
42650,6.5614482951755973e-07
42700,8.0383581895108517e-12
42750,6.0191888179386077e-07
42800,8.3264816853723174e-12
42850,5.5439165101560185e-07
42900,8.4182196570992484e-12
42950,5.1246330743208914e-07
43000,9.135222560188673e-12
43050,4.7528144102501293e-07
43100,9.0712015145736263e-12
43150,4.4209178698542043e-07
43200,8.3670254749009503e-12
43250,4.1232639359495195e-07
43300,8.624702413298037e-12
43350,3.855387676031383e-07
43400,8.2714349621590078e-12
43450,3.6129289199586498e-07
43500,8.4033108449504967e-12
43550,3.3927388520132179e-07
43600,8.0623067569754246e-12
43650,3.1923443571581317e-07
43700,7.6384158851973127e-12
43750,3.0089766472335946e-07
43800,7.8202221584119107e-12
43850,2.8407980398756113e-07
43900,7.9172125012804144e-12
43950,2.686384911137862e-07
44000,8.6545131466730891e-12
44050,2.5438426218067004e-07
44100,8.3778111593911375e-12
44150,2.4120569662162406e-07
44200,8.7176527566458668e-12
44250,2.2902081678579367e-07
44300,7.7380489803965582e-12
44350,2.1769136493849121e-07
44400,8.2918189827599594e-12
44450,2.071476654557434e-07
44500,8.5966732715256825e-12
44550,1.9734233701314913e-07
44600,8.1703837420835612e-12
44650,1.8816883751071019e-07
44700,7.6513984022315428e-12
44750,1.79584890608047e-07
44800,9.4128286392123297e-12
44850,1.7156549391370559e-07
44900,7.7151337424092614e-12
44950,1.6402064881094138e-07
45000,8.8359517248895426e-12
45050,1.5692851612945465e-07
45100,7.9683184769090654e-12
45150,1.502767278628059e-07
45200,7.8568047044665488e-12
45250,1.4399022699836095e-07
45300,8.579378738465444e-12
45350,1.3805607987691767e-07
45400,7.5424984973946995e-12
45450,1.3247184766631021e-07
45500,8.2004105044151323e-12
45550,1.2717216623833285e-07
45600,8.0521112043546257e-12
45650,1.2215262727480257e-07
45700,8.2200145397245335e-12
45750,1.1741638745378234e-07
45800,7.7771567244235816e-12
45850,1.12904691437951e-07
45900,8.4778066984130668e-12
45950,1.0861715752791543e-07
46000,8.3687864488951952e-12
46050,1.0456340723164963e-07
46100,8.2453358874881724e-12
46150,1.0068810869905862e-07
46200,7.4189567616954185e-12
46250,9.6995903724943798e-08
46300,8.2602662885657105e-12
46350,9.3498603470758636e-08
46400,8.0498166075540086e-12
46450,9.0144243649681137e-08
46500,8.0348722026055981e-12
46550,8.6942077170547384e-08
46600,7.8155319449061776e-12
46650,8.3903241213866046e-08
46700,7.4448634317772356e-12
46750,8.0981103555644421e-08
46800,8.4203819972790613e-12
46850,7.818482380932999e-08
46900,8.1083060665083306e-12
46950,7.5529398885707905e-08
