time	V(gate)	V(n002)
1.000266483360525e-005	4.330992e-001	2.664834e+000
1.000305672231896e-005	4.551176e-001	3.056722e+000
1.000350961474493e-005	5.019228e-001	3.509615e+000
1.000404706754388e-005	5.813946e-001	4.047068e+000
1.000470333875453e-005	7.081999e-001	4.703339e+000
1.000533310353427e-005	8.686506e-001	5.333104e+000
1.000653840941422e-005	1.278028e+000	6.538409e+000
1.000810548873528e-005	1.984577e+000	8.105489e+000
1.001000000000000e-005	3.022384e+000	1.000000e+001
1.001018945112647e-005	3.145747e+000	1.000000e+001
1.001056835337942e-005	3.394305e+000	1.000000e+001
1.001132615788530e-005	3.896772e+000	1.000000e+001
1.001231577522794e-005	4.555911e+000	1.000000e+001
1.001343764999113e-005	5.291951e+000	1.000000e+001
1.001434704284345e-005	5.831458e+000	1.000000e+001
1.001507212316352e-005	6.124857e+000	1.000000e+001
1.001608269366906e-005	6.313607e+000	1.000000e+001
1.001665435175206e-005	6.347328e+000	1.000000e+001
1.001730974094713e-005	6.353454e+000	1.000000e+001
1.001801969195210e-005	6.359862e+000	1.000000e+001
1.001873025931280e-005	6.376020e+000	1.000000e+001
1.001956265873771e-005	6.407363e+000	1.000000e+001
1.002044901452608e-005	6.445886e+000	1.000000e+001
1.002174016125731e-005	6.501323e+000	1.000000e+001
1.002350272236521e-005	6.579559e+000	1.000000e+001
1.002578078943170e-005	6.725655e+000	1.000000e+001
1.002641025020852e-005	6.818855e+000	1.000000e+001
1.002663316607753e-005	6.875748e+000	1.000000e+001
1.002675991264418e-005	6.913112e+000	1.000000e+001
1.002693417501819e-005	6.964467e+000	1.000000e+001
1.002720586137861e-005	7.044719e+000	1.000000e+001
1.002748143379895e-005	7.126024e+000	1.000000e+001
1.002783110030144e-005	7.228653e+000	1.000000e+001
1.002819582032656e-005	7.334660e+000	1.000000e+001
1.002862315828585e-005	7.457187e+000	1.000000e+001
1.002908249457982e-005	7.586639e+000	1.000000e+001
1.002960605224598e-005	7.731159e+000	1.000000e+001
1.003017898620014e-005	7.885559e+000	1.000000e+001
1.003079400695883e-005	8.046836e+000	1.000000e+001
1.003146429436406e-005	8.217379e+000	1.000000e+001
1.003216378219962e-005	8.389546e+000	1.000000e+001
1.003292499815463e-005	8.570351e+000	1.000000e+001
1.003368357378119e-005	8.743653e+000	1.000000e+001
1.003456399194543e-005	8.936589e+000	1.000000e+001
